timestamp_utc	timestamp_local	scene	event	mode	candidate_index	selected_index	position	depth	details
2026-06-10T07:59:37.3728063Z	2026-06-10T16:59:37.3728063+09:00	MoveNavScene	session_start	Overview			0.5000	0.5000	navigation=MoveDistance; log_path=C:/Users/jiny1/AppData/LocalLow/DefaultCompany/GCT555_Client\UserEventLogs\user_events_20260610_165937_371.tsv
2026-06-10T07:59:37.3816328Z	2026-06-10T16:59:37.3816328+09:00	MoveNavScene	pose_tracking_lost	Overview			0.5000	0.5000	position=0.5000; depth=0.5000
2026-06-10T07:59:38.1394257Z	2026-06-10T16:59:38.1394257+09:00	MoveNavScene	pose_tracking_restored	Overview			0.5000	0.5000	position=0.5000; depth=0.5000
2026-06-10T07:59:38.1424886Z	2026-06-10T16:59:38.1424886+09:00	MoveNavScene	mode_changed	Browsing			0.4949	0.4983	from=Overview; to=Browsing; reason=pose_restored; 
2026-06-10T07:59:38.1424886Z	2026-06-10T16:59:38.1424886+09:00	MoveNavScene	candidate_changed	Browsing	4		0.4949	0.4983	from=; to=4; reason=pose_restored; artifact_index=4; artifact_id=2; title=청자 상감 동화 포도 동자 무늬 조롱박 모양 받침; 
2026-06-10T07:59:38.1630449Z	2026-06-10T16:59:38.1630449+09:00	MoveNavScene	candidate_changed	Browsing	3		0.4126	0.4707	from=4; to=3; reason=move_position; artifact_index=3; artifact_id=15; title=검파형 동기; 
2026-06-10T07:59:38.2281178Z	2026-06-10T16:59:38.2281178+09:00	MoveNavScene	candidate_changed	Browsing	2		0.2491	0.4160	from=3; to=2; reason=move_position; artifact_index=2; artifact_id=12; title=청자 상감 국화문 잔; 
2026-06-10T07:59:38.3627475Z	2026-06-10T16:59:38.3627475+09:00	MoveNavScene	candidate_changed	Browsing	1		0.0833	0.3606	from=2; to=1; reason=move_position; artifact_index=1; artifact_id=11; title=호우총 청동 그릇; 
2026-06-10T07:59:39.4352810Z	2026-06-10T16:59:39.4352810+09:00	MoveNavScene	pose_tracking_lost	Browsing	1		0.0000	0.3637	position=0.0000; depth=0.3637
2026-06-10T07:59:39.4357923Z	2026-06-10T16:59:39.4357923+09:00	MoveNavScene	mode_changed	Overview	1		0.0000	0.3637	from=Browsing; to=Overview; reason=pose_lost; 
2026-06-10T07:59:45.3845622Z	2026-06-10T16:59:45.3845622+09:00	MoveNavScene	pose_tracking_restored	Overview			0.0000	0.3637	position=0.0000; depth=0.3637
2026-06-10T07:59:45.3855735Z	2026-06-10T16:59:45.3855735+09:00	MoveNavScene	mode_changed	Browsing			0.0259	0.3521	from=Overview; to=Browsing; reason=pose_restored; 
