timestamp_utc	timestamp_local	scene	event	mode	candidate_index	selected_index	position	depth	details
2026-06-10T05:55:38.8032539Z	2026-06-10T14:55:38.8032539+09:00	MoveNavScene	session_start	Overview			0.5000	0.5000	navigation=MoveDistance; log_path=C:/Users/jiny1/AppData/LocalLow/DefaultCompany/GCT555_Client\UserEventLogs\user_events_20260610_145538_801.tsv
2026-06-10T05:55:38.8130028Z	2026-06-10T14:55:38.8130028+09:00	MoveNavScene	pose_tracking_lost	Overview			0.5000	0.5000	position=0.5000; depth=0.5000
2026-06-10T05:55:42.4417861Z	2026-06-10T14:55:42.4417861+09:00	MoveNavScene	pose_tracking_restored	Overview			0.5000	0.5000	position=0.5000; depth=0.5000
2026-06-10T05:55:42.4453795Z	2026-06-10T14:55:42.4453795+09:00	MoveNavScene	mode_changed	Browsing			0.5012	0.4952	from=Overview; to=Browsing; reason=pose_restored; 
2026-06-10T05:55:42.4453795Z	2026-06-10T14:55:42.4453795+09:00	MoveNavScene	candidate_changed	Browsing	4		0.5012	0.4952	from=; to=4; reason=pose_restored; artifact_index=4; artifact_id=8; title=청자 상감 동화 포도 동자 무늬 조롱박 모양 주전자; 
2026-06-10T05:55:42.6516516Z	2026-06-10T14:55:42.6516516+09:00	MoveNavScene	candidate_changed	Browsing	5		0.5833	0.1678	from=4; to=5; reason=move_position; artifact_index=5; artifact_id=2; title=청자 상감 동화 포도 동자 무늬 조롱박 모양 받침; 
2026-06-10T05:55:44.5218196Z	2026-06-10T14:55:44.5218196+09:00	MoveNavScene	candidate_changed	Browsing	4		0.5833	0.2992	from=5; to=4; reason=move_position; artifact_index=4; artifact_id=8; title=청자 상감 동화 포도 동자 무늬 조롱박 모양 주전자; 
2026-06-10T05:55:45.2393177Z	2026-06-10T14:55:45.2393177+09:00	MoveNavScene	candidate_changed	Browsing	5		0.5834	0.3593	from=4; to=5; reason=move_position; artifact_index=5; artifact_id=2; title=청자 상감 동화 포도 동자 무늬 조롱박 모양 받침; 
2026-06-10T05:55:45.7114947Z	2026-06-10T14:55:45.7114947+09:00	MoveNavScene	candidate_changed	Browsing	4		0.5828	0.3905	from=5; to=4; reason=move_position; artifact_index=4; artifact_id=8; title=청자 상감 동화 포도 동자 무늬 조롱박 모양 주전자; 
2026-06-10T05:55:47.2405481Z	2026-06-10T14:55:47.2405481+09:00	MoveNavScene	candidate_changed	Browsing	3		0.4165	0.5327	from=4; to=3; reason=move_position; artifact_index=3; artifact_id=1; title=금동 반가 사유상; 
