timestamp_utc	timestamp_local	scene	event	mode	candidate_index	selected_index	position	depth	details
2026-06-10T07:26:25.7737363Z	2026-06-10T16:26:25.7737363+09:00	MoveNavScene	session_start	Overview			0.5000	0.5000	navigation=MoveDistance; log_path=C:/Users/jiny1/AppData/LocalLow/DefaultCompany/GCT555_Client\UserEventLogs\user_events_20260610_162625_771.tsv
2026-06-10T07:26:25.7823919Z	2026-06-10T16:26:25.7823919+09:00	MoveNavScene	pose_tracking_lost	Overview			0.5000	0.5000	position=0.5000; depth=0.5000
2026-06-10T07:26:36.4751598Z	2026-06-10T16:26:36.4751598+09:00	MoveNavScene	pose_tracking_restored	Overview			0.5000	0.5000	position=0.5000; depth=0.5000
2026-06-10T07:26:36.4766760Z	2026-06-10T16:26:36.4766760+09:00	MoveNavScene	mode_changed	Browsing			0.4941	0.4979	from=Overview; to=Browsing; reason=pose_restored; 
2026-06-10T07:26:36.4766760Z	2026-06-10T16:26:36.4766760+09:00	MoveNavScene	candidate_changed	Browsing	4		0.4941	0.4979	from=; to=4; reason=pose_restored; artifact_index=4; artifact_id=4; title=금동 반가사유상; 
2026-06-10T07:26:36.4945194Z	2026-06-10T16:26:36.4945194+09:00	MoveNavScene	candidate_changed	Browsing	3		0.4145	0.4695	from=4; to=3; reason=move_position; artifact_index=3; artifact_id=18; title=청동투구; 
2026-06-10T07:26:36.5586675Z	2026-06-10T16:26:36.5586675+09:00	MoveNavScene	candidate_changed	Browsing	2		0.2485	0.4103	from=3; to=2; reason=move_position; artifact_index=2; artifact_id=14; title=요령식 동검; 
2026-06-10T07:26:36.6960838Z	2026-06-10T16:26:36.6960838+09:00	MoveNavScene	candidate_changed	Browsing	1		0.0827	0.3511	from=2; to=1; reason=move_position; artifact_index=1; artifact_id=16; title=청자 상감 잔과 잔받침; 
2026-06-10T07:26:37.5484957Z	2026-06-10T16:26:37.5484957+09:00	MoveNavScene	pose_tracking_lost	Browsing	1		0.0001	0.3216	position=0.0001; depth=0.3216
2026-06-10T07:26:37.5500099Z	2026-06-10T16:26:37.5500099+09:00	MoveNavScene	mode_changed	Overview	1		0.0001	0.3216	from=Browsing; to=Overview; reason=pose_lost; 
2026-06-10T07:26:40.2108342Z	2026-06-10T16:26:40.2108342+09:00	MoveNavScene	pose_tracking_restored	Overview			0.0001	0.3216	position=0.0001; depth=0.3216
2026-06-10T07:26:40.2108342Z	2026-06-10T16:26:40.2108342+09:00	MoveNavScene	mode_changed	Browsing			0.0001	0.3218	from=Overview; to=Browsing; reason=pose_restored; 
2026-06-10T07:26:40.2118357Z	2026-06-10T16:26:40.2118357+09:00	MoveNavScene	candidate_changed	Browsing	1		0.0001	0.3218	from=; to=1; reason=pose_restored; artifact_index=1; artifact_id=16; title=청자 상감 잔과 잔받침; 
2026-06-10T07:26:41.2862863Z	2026-06-10T16:26:41.2862863+09:00	MoveNavScene	pose_tracking_lost	Browsing	1		0.0000	0.3392	position=0.0000; depth=0.3392
2026-06-10T07:26:41.2874806Z	2026-06-10T16:26:41.2874806+09:00	MoveNavScene	mode_changed	Overview	1		0.0000	0.3392	from=Browsing; to=Overview; reason=pose_lost; 
2026-06-10T07:26:43.9402742Z	2026-06-10T16:26:43.9402742+09:00	MoveNavScene	pose_tracking_restored	Overview			0.0000	0.3392	position=0.0000; depth=0.3392
2026-06-10T07:26:43.9412738Z	2026-06-10T16:26:43.9412738+09:00	MoveNavScene	mode_changed	Browsing			0.0056	0.3366	from=Overview; to=Browsing; reason=pose_restored; 
2026-06-10T07:26:43.9412738Z	2026-06-10T16:26:43.9412738+09:00	MoveNavScene	candidate_changed	Browsing	1		0.0056	0.3366	from=; to=1; reason=pose_restored; artifact_index=1; artifact_id=16; title=청자 상감 잔과 잔받침; 
