timestamp_utc	timestamp_local	scene	event	mode	candidate_index	selected_index	position	depth	details
2026-06-10T07:51:05.9039508Z	2026-06-10T16:51:05.9039508+09:00	TouchNavScene	session_start	Overview			0.5000	0.5000	navigation=ScreenTouch; log_path=C:/Users/jiny1/AppData/LocalLow/DefaultCompany/GCT555_Client\UserEventLogs\user_events_20260610_165105_903.tsv
2026-06-10T07:51:05.9140174Z	2026-06-10T16:51:05.9140174+09:00	TouchNavScene	pose_tracking_lost	Overview			0.5000	0.5000	position=0.5000; depth=0.5000
2026-06-10T07:51:21.8797492Z	2026-06-10T16:51:21.8797492+09:00	TouchNavScene	pose_tracking_restored	Overview			0.5000	0.5000	position=0.5000; depth=0.5000
2026-06-10T07:51:21.8817546Z	2026-06-10T16:51:21.8817546+09:00	TouchNavScene	mode_changed	Browsing			0.5039	0.5218	from=Overview; to=Browsing; reason=pose_restored; 
2026-06-10T07:51:21.8827542Z	2026-06-10T16:51:21.8827542+09:00	TouchNavScene	candidate_changed	Browsing	4		0.5039	0.5218	from=; to=4; reason=pose_restored; artifact_index=4; artifact_id=10; title=화각필통; 
2026-06-10T07:51:24.6886042Z	2026-06-10T16:51:24.6886042+09:00	TouchNavScene	touch_started	Browsing	4		0.6955	0.3033	left(x=0.000, y=0.000, rawX=0.629, rawY=0.741, visibility=0.109, touching=False) right(x=0.813, y=0.870, rawX=0.843, rawY=0.888, visibility=0.724, touching=True) touchX=0.813, section=Right, touchLine=0.850, threshold=0.870
2026-06-10T07:51:24.6891159Z	2026-06-10T16:51:24.6891159+09:00	TouchNavScene	candidate_changed	Browsing	5		0.6955	0.3033	from=4; to=5; reason=touch_right; artifact_index=5; artifact_id=11; title=호우총 청동 그릇; touchX=0.813
2026-06-10T07:51:24.7675269Z	2026-06-10T16:51:24.7675269+09:00	TouchNavScene	touch_ended	Browsing	5		0.7126	0.2776	navigation=touch
2026-06-10T07:51:24.8755485Z	2026-06-10T16:51:24.8755485+09:00	TouchNavScene	touch_started	Browsing	5		0.7260	0.2572	left(x=0.000, y=0.000, rawX=0.631, rawY=0.744, visibility=0.129, touching=False) right(x=0.798, y=0.870, rawX=0.843, rawY=0.901, visibility=0.378, touching=True) touchX=0.798, section=Right, touchLine=0.850, threshold=0.870
2026-06-10T07:51:24.8765477Z	2026-06-10T16:51:24.8765477+09:00	TouchNavScene	candidate_changed	Browsing	6		0.7260	0.2572	from=5; to=6; reason=touch_right; artifact_index=6; artifact_id=18; title=청동투구; touchX=0.798
2026-06-10T07:51:24.9412620Z	2026-06-10T16:51:24.9412620+09:00	TouchNavScene	touch_ended	Browsing	6		0.7340	0.2484	navigation=touch
2026-06-10T07:51:25.0326317Z	2026-06-10T16:51:25.0326317+09:00	TouchNavScene	touch_started	Browsing	6		0.7398	0.2456	left(x=0.845, y=0.918, rawX=0.845, rawY=0.918, visibility=0.969, touching=True) right(x=0.636, y=0.758, rawX=0.636, rawY=0.758, visibility=0.955, touching=False) touchX=0.845, section=Right, touchLine=0.850, threshold=0.870
2026-06-10T07:51:25.0336484Z	2026-06-10T16:51:25.0336484+09:00	TouchNavScene	candidate_changed	Browsing	7		0.7398	0.2456	from=6; to=7; reason=touch_right; artifact_index=7; artifact_id=6; title=청자 상감 포류 수금문 매병; touchX=0.845
2026-06-10T07:51:25.2627924Z	2026-06-10T16:51:25.2627924+09:00	TouchNavScene	touch_ended	Browsing	7		0.7303	0.2492	navigation=touch
2026-06-10T07:51:29.8081987Z	2026-06-10T16:51:29.8081987+09:00	TouchNavScene	touch_started	Browsing	7		0.4425	0.2051	left(x=0.387, y=0.914, rawX=0.387, rawY=0.914, visibility=0.702, touching=True) right(x=0.000, y=0.000, rawX=0.362, rawY=0.823, visibility=0.022, touching=False) touchX=0.387, section=Center, touchLine=0.850, threshold=0.870
2026-06-10T07:51:29.8087128Z	2026-06-10T16:51:29.8087128+09:00	TouchNavScene	selection_confirmed	Browsing	7	7	0.4425	0.2051	artifact_index=7; artifact_id=6; title=청자 상감 포류 수금문 매병; navigation=touch; section=Center; touchX=0.387
2026-06-10T07:51:29.8087128Z	2026-06-10T16:51:29.8087128+09:00	TouchNavScene	mode_changed	Detail	7	7	0.4425	0.2051	from=Browsing; to=Detail; reason=touch_center_detail; touchX=0.387; artifact_index=7; artifact_id=6; title=청자 상감 포류 수금문 매병
2026-06-10T07:51:29.8087128Z	2026-06-10T16:51:29.8087128+09:00	TouchNavScene	detail_entered	Detail	7	7	0.4425	0.2051	artifact_index=7; artifact_id=6; title=청자 상감 포류 수금문 매병; navigation=touch; section=Center; touchX=0.387
2026-06-10T07:51:30.0297819Z	2026-06-10T16:51:30.0297819+09:00	TouchNavScene	touch_ended	Detail	7	7	0.4276	0.2081	navigation=touch
2026-06-10T07:51:31.4430200Z	2026-06-10T16:51:31.4430200+09:00	TouchNavScene	touch_started	Detail	7	7	0.3647	0.2154	left(x=0.417, y=0.851, rawX=0.454, rawY=0.878, visibility=1.000, touching=False) right(x=0.297, y=0.870, rawX=0.326, rawY=0.874, visibility=0.999, touching=True) touchX=0.297, section=Left, touchLine=0.850, threshold=0.870
2026-06-10T07:51:31.4440251Z	2026-06-10T16:51:31.4440251+09:00	TouchNavScene	mode_changed	Browsing	7	7	0.3647	0.2154	from=Detail; to=Browsing; reason=touch_navigation_detail_exit; section=Left; touchX=0.297; artifact_index=7; artifact_id=6; title=청자 상감 포류 수금문 매병
