timestamp_utc	timestamp_local	scene	event	mode	candidate_index	selected_index	position	depth	details
2026-06-10T06:19:32.6096853Z	2026-06-10T15:19:32.6096853+09:00	MoveNavScene	session_start	Overview			0.5000	0.5000	navigation=MoveDistance; log_path=C:/Users/jiny1/AppData/LocalLow/DefaultCompany/GCT555_Client\UserEventLogs\user_events_20260610_151932_608.tsv
2026-06-10T06:19:32.6173479Z	2026-06-10T15:19:32.6173479+09:00	MoveNavScene	pose_tracking_lost	Overview			0.5000	0.5000	position=0.5000; depth=0.5000
2026-06-10T06:19:46.3497200Z	2026-06-10T15:19:46.3497200+09:00	MoveNavScene	pose_tracking_restored	Overview			0.5000	0.5000	position=0.5000; depth=0.5000
2026-06-10T06:19:46.3522591Z	2026-06-10T15:19:46.3522591+09:00	MoveNavScene	mode_changed	Browsing			0.4938	0.4838	from=Overview; to=Browsing; reason=pose_restored; 
2026-06-10T06:19:46.3522591Z	2026-06-10T15:19:46.3522591+09:00	MoveNavScene	candidate_changed	Browsing	4		0.4938	0.4838	from=; to=4; reason=pose_restored; artifact_index=4; artifact_id=3; title=청자 오리 모양 연적; 
2026-06-10T06:19:46.4466314Z	2026-06-10T15:19:46.4466314+09:00	MoveNavScene	candidate_changed	Browsing	3		0.4163	0.2832	from=4; to=3; reason=move_position; artifact_index=3; artifact_id=4; title=금동 반가사유상; 
2026-06-10T06:19:47.3965477Z	2026-06-10T15:19:47.3965477+09:00	MoveNavScene	pose_tracking_lost	Browsing	3		0.3504	0.1123	position=0.3504; depth=0.1123
2026-06-10T06:19:47.3980539Z	2026-06-10T15:19:47.3980539+09:00	MoveNavScene	mode_changed	Overview	3		0.3504	0.1123	from=Browsing; to=Overview; reason=pose_lost; 
2026-06-10T06:19:47.5418601Z	2026-06-10T15:19:47.5418601+09:00	MoveNavScene	pose_tracking_restored	Overview			0.3504	0.1123	position=0.3504; depth=0.1123
2026-06-10T06:19:47.5428742Z	2026-06-10T15:19:47.5428742+09:00	MoveNavScene	mode_changed	Browsing			0.3519	0.1125	from=Overview; to=Browsing; reason=pose_restored; 
2026-06-10T06:19:47.5428742Z	2026-06-10T15:19:47.5428742+09:00	MoveNavScene	candidate_changed	Browsing	3		0.3519	0.1125	from=; to=3; reason=pose_restored; artifact_index=3; artifact_id=4; title=금동 반가사유상; 
2026-06-10T06:19:47.6380633Z	2026-06-10T15:19:47.6380633+09:00	MoveNavScene	candidate_changed	Browsing	4		0.4167	0.1201	from=3; to=4; reason=move_position; artifact_index=4; artifact_id=3; title=청자 오리 모양 연적; 
2026-06-10T06:19:48.7231943Z	2026-06-10T15:19:48.7231943+09:00	MoveNavScene	pose_tracking_lost	Browsing	4		0.4830	0.1333	position=0.4830; depth=0.1333
2026-06-10T06:19:48.7242003Z	2026-06-10T15:19:48.7242003+09:00	MoveNavScene	mode_changed	Overview	4		0.4830	0.1333	from=Browsing; to=Overview; reason=pose_lost; 
2026-06-10T06:19:49.8129096Z	2026-06-10T15:19:49.8129096+09:00	MoveNavScene	pose_tracking_restored	Overview			0.4830	0.1333	position=0.4830; depth=0.1333
2026-06-10T06:19:49.8134199Z	2026-06-10T15:19:49.8134199+09:00	MoveNavScene	mode_changed	Browsing			0.4863	0.1323	from=Overview; to=Browsing; reason=pose_restored; 
2026-06-10T06:19:49.8134199Z	2026-06-10T15:19:49.8134199+09:00	MoveNavScene	candidate_changed	Browsing	4		0.4863	0.1323	from=; to=4; reason=pose_restored; artifact_index=4; artifact_id=3; title=청자 오리 모양 연적; 
2026-06-10T06:19:49.9451935Z	2026-06-10T15:19:49.9451935+09:00	MoveNavScene	candidate_changed	Browsing	5		0.5836	0.1031	from=4; to=5; reason=move_position; artifact_index=5; artifact_id=1; title=금동 반가 사유상; 
2026-06-10T06:19:52.6217054Z	2026-06-10T15:19:52.6217054+09:00	MoveNavScene	pose_tracking_lost	Browsing	5		0.6383	0.0916	position=0.6383; depth=0.0916
2026-06-10T06:19:52.6227055Z	2026-06-10T15:19:52.6227055+09:00	MoveNavScene	mode_changed	Overview	5		0.6383	0.0916	from=Browsing; to=Overview; reason=pose_lost; 
2026-06-10T06:19:54.2133785Z	2026-06-10T15:19:54.2133785+09:00	MoveNavScene	pose_tracking_restored	Overview			0.6383	0.0916	position=0.6383; depth=0.0916
2026-06-10T06:19:54.2133785Z	2026-06-10T15:19:54.2133785+09:00	MoveNavScene	mode_changed	Browsing			0.6366	0.0917	from=Overview; to=Browsing; reason=pose_restored; 
2026-06-10T06:19:54.2144352Z	2026-06-10T15:19:54.2144352+09:00	MoveNavScene	candidate_changed	Browsing	5		0.6366	0.0917	from=; to=5; reason=pose_restored; artifact_index=5; artifact_id=1; title=금동 반가 사유상; 
2026-06-10T06:19:54.4143740Z	2026-06-10T15:19:54.4158783+09:00	MoveNavScene	candidate_changed	Browsing	4		0.5832	0.0987	from=5; to=4; reason=move_position; artifact_index=4; artifact_id=3; title=청자 오리 모양 연적; 
2026-06-10T06:19:54.9809458Z	2026-06-10T15:19:54.9809458+09:00	MoveNavScene	candidate_changed	Browsing	5		0.5833	0.1324	from=4; to=5; reason=move_position; artifact_index=5; artifact_id=1; title=금동 반가 사유상; 
2026-06-10T06:19:56.7983975Z	2026-06-10T15:19:56.7983975+09:00	MoveNavScene	candidate_changed	Browsing	4		0.5833	0.1977	from=5; to=4; reason=move_position; artifact_index=4; artifact_id=3; title=청자 오리 모양 연적; 
2026-06-10T06:20:12.8543509Z	2026-06-10T15:20:12.8543509+09:00	MoveNavScene	candidate_changed	Browsing	5		0.5836	0.1842	from=4; to=5; reason=move_position; artifact_index=5; artifact_id=1; title=금동 반가 사유상; 
2026-06-10T06:20:16.8845409Z	2026-06-10T15:20:16.8845409+09:00	MoveNavScene	candidate_changed	Browsing	6		0.7501	0.4397	from=5; to=6; reason=move_position; artifact_index=6; artifact_id=2; title=청자 상감 동화 포도 동자 무늬 조롱박 모양 받침; 
2026-06-10T06:20:20.4020377Z	2026-06-10T15:20:20.4020377+09:00	MoveNavScene	candidate_changed	Browsing	5		0.7498	0.4408	from=6; to=5; reason=move_position; artifact_index=5; artifact_id=1; title=금동 반가 사유상; 
2026-06-10T06:20:21.7567088Z	2026-06-10T15:20:21.7567088+09:00	MoveNavScene	candidate_changed	Browsing	4		0.5833	0.5157	from=5; to=4; reason=move_position; artifact_index=4; artifact_id=3; title=청자 오리 모양 연적; 
2026-06-10T06:20:23.1227414Z	2026-06-10T15:20:23.1227414+09:00	MoveNavScene	candidate_changed	Browsing	3		0.4165	0.5578	from=4; to=3; reason=move_position; artifact_index=3; artifact_id=4; title=금동 반가사유상; 
2026-06-10T06:20:24.0129354Z	2026-06-10T15:20:24.0129354+09:00	MoveNavScene	candidate_changed	Browsing	2		0.2496	0.6285	from=3; to=2; reason=move_position; artifact_index=2; artifact_id=18; title=청동투구; 
2026-06-10T06:20:24.6227462Z	2026-06-10T15:20:24.6227462+09:00	MoveNavScene	candidate_changed	Browsing	1		0.0826	0.6112	from=2; to=1; reason=move_position; artifact_index=1; artifact_id=6; title=청자 상감 포류 수금문 매병; 
2026-06-10T06:20:25.7208169Z	2026-06-10T15:20:25.7208169+09:00	MoveNavScene	candidate_changed	Browsing	2		0.0837	0.6368	from=1; to=2; reason=move_position; artifact_index=2; artifact_id=18; title=청동투구; 
2026-06-10T06:20:26.7123242Z	2026-06-10T15:20:26.7123242+09:00	MoveNavScene	candidate_changed	Browsing	3		0.2506	0.6068	from=2; to=3; reason=move_position; artifact_index=3; artifact_id=4; title=금동 반가사유상; 
2026-06-10T06:20:28.6700540Z	2026-06-10T15:20:28.6700540+09:00	MoveNavScene	candidate_changed	Browsing	2		0.2498	0.5587	from=3; to=2; reason=move_position; artifact_index=2; artifact_id=18; title=청동투구; 
2026-06-10T06:20:30.5707918Z	2026-06-10T15:20:30.5707918+09:00	MoveNavScene	touch_started	Browsing	2		0.1459	0.6182	left(x=0.310, y=0.682, rawX=0.310, rawY=0.682, visibility=0.990, touching=False) right(x=0.163, y=0.875, rawX=0.163, rawY=0.875, visibility=0.997, touching=True) touchX=0.163, section=Left, touchLine=0.850, threshold=0.870
2026-06-10T06:20:30.5707918Z	2026-06-10T15:20:30.5707918+09:00	MoveNavScene	selection_confirmed	Browsing	2	2	0.1459	0.6182	artifact_index=2; artifact_id=18; title=청동투구; navigation=move
2026-06-10T06:20:30.5717907Z	2026-06-10T15:20:30.5717907+09:00	MoveNavScene	mode_changed	TouchConfirmed	2	2	0.1459	0.6182	from=Browsing; to=TouchConfirmed; reason=move_touch_confirmed; artifact_index=2; artifact_id=18; title=청동투구
2026-06-10T06:20:30.8457178Z	2026-06-10T15:20:30.8457178+09:00	MoveNavScene	touch_ended	TouchConfirmed	2	2	0.1554	0.6341	navigation=move
