timestamp_utc	timestamp_local	scene	event	mode	candidate_index	selected_index	position	depth	details
2026-06-10T07:36:23.7707529Z	2026-06-10T16:36:23.7707529+09:00	TouchNavScene	session_start	Overview			0.5000	0.5000	navigation=ScreenTouch; log_path=C:/Users/jiny1/AppData/LocalLow/DefaultCompany/GCT555_Client\UserEventLogs\user_events_20260610_163623_770.tsv
2026-06-10T07:36:23.7803180Z	2026-06-10T16:36:23.7803180+09:00	TouchNavScene	pose_tracking_lost	Overview			0.5000	0.5000	position=0.5000; depth=0.5000
2026-06-10T07:36:31.1869951Z	2026-06-10T16:36:31.1869951+09:00	TouchNavScene	pose_tracking_restored	Overview			0.5000	0.5000	position=0.5000; depth=0.5000
2026-06-10T07:36:31.1895133Z	2026-06-10T16:36:31.1895133+09:00	TouchNavScene	mode_changed	Browsing			0.4990	0.5045	from=Overview; to=Browsing; reason=pose_restored; 
2026-06-10T07:36:31.1900186Z	2026-06-10T16:36:31.1900186+09:00	TouchNavScene	candidate_changed	Browsing	4		0.4990	0.5045	from=; to=4; reason=pose_restored; artifact_index=4; artifact_id=13; title=방패형 동기; 
2026-06-10T07:36:33.7902598Z	2026-06-10T16:36:33.7902598+09:00	TouchNavScene	touch_started	Browsing	4		0.5163	0.3862	left(x=0.525, y=0.618, rawX=0.515, rawY=0.515, visibility=0.839, touching=False) right(x=0.507, y=0.870, rawX=0.512, rawY=0.905, visibility=1.000, touching=True) touchX=0.507, section=Center, touchLine=0.850, threshold=0.870
2026-06-10T07:36:33.7912687Z	2026-06-10T16:36:33.7912687+09:00	TouchNavScene	selection_confirmed	Browsing	4	4	0.5163	0.3862	artifact_index=4; artifact_id=13; title=방패형 동기; navigation=touch; section=Center; touchX=0.507
2026-06-10T07:36:33.7912687Z	2026-06-10T16:36:33.7912687+09:00	TouchNavScene	mode_changed	Detail	4	4	0.5163	0.3862	from=Browsing; to=Detail; reason=touch_center_detail; touchX=0.507; artifact_index=4; artifact_id=13; title=방패형 동기
2026-06-10T07:36:33.7922652Z	2026-06-10T16:36:33.7922652+09:00	TouchNavScene	detail_entered	Detail	4	4	0.5163	0.3862	artifact_index=4; artifact_id=13; title=방패형 동기; navigation=touch; section=Center; touchX=0.507
2026-06-10T07:36:34.1730743Z	2026-06-10T16:36:34.1730743+09:00	TouchNavScene	touch_ended	Detail	4	4	0.5197	0.3534	navigation=touch
2026-06-10T07:36:36.2766611Z	2026-06-10T16:36:36.2766611+09:00	TouchNavScene	space_pressed	Detail	4	4	0.5665	0.3946	navigation=ScreenTouch; candidate=artifact_index=4; artifact_id=13; title=방패형 동기; selected=artifact_index=4; artifact_id=13; title=방패형 동기
2026-06-10T07:36:40.6168218Z	2026-06-10T16:36:40.6168218+09:00	TouchNavScene	touch_started	Detail	4	4	0.5563	0.3921	left(x=0.572, y=0.870, rawX=0.574, rawY=0.882, visibility=1.000, touching=True) right(x=0.514, y=0.628, rawX=0.514, rawY=0.634, visibility=0.990, touching=False) touchX=0.572, section=Center, touchLine=0.850, threshold=0.870
2026-06-10T07:36:40.6178218Z	2026-06-10T16:36:40.6178218+09:00	TouchNavScene	mode_changed	Browsing	4	4	0.5563	0.3921	from=Detail; to=Browsing; reason=touch_navigation_detail_exit; section=Center; touchX=0.572; artifact_index=4; artifact_id=13; title=방패형 동기
2026-06-10T07:36:40.6178218Z	2026-06-10T16:36:40.6178218+09:00	TouchNavScene	detail_exited	Browsing	4	4	0.5563	0.3921	artifact_index=4; artifact_id=13; title=방패형 동기; navigation=touch; section=Center; touchX=0.572
2026-06-10T07:36:41.1943256Z	2026-06-10T16:36:41.1943256+09:00	TouchNavScene	touch_ended	Browsing	4		0.5583	0.3473	navigation=touch
2026-06-10T07:36:44.4919344Z	2026-06-10T16:36:44.4919344+09:00	TouchNavScene	touch_started	Browsing	4		0.6135	0.3711	left(x=0.826, y=0.914, rawX=0.826, rawY=0.914, visibility=0.950, touching=True) right(x=0.000, y=0.000, rawX=0.603, rawY=0.675, visibility=0.092, touching=False) touchX=0.826, section=Right, touchLine=0.850, threshold=0.870
2026-06-10T07:36:44.4929347Z	2026-06-10T16:36:44.4929347+09:00	TouchNavScene	candidate_changed	Browsing	5		0.6135	0.3711	from=4; to=5; reason=touch_right; artifact_index=5; artifact_id=17; title=빗살무늬토기; touchX=0.826
2026-06-10T07:36:45.0762806Z	2026-06-10T16:36:45.0762806+09:00	TouchNavScene	touch_ended	Browsing	5		0.6590	0.3076	navigation=touch
2026-06-10T07:36:45.2034265Z	2026-06-10T16:36:45.2034265+09:00	TouchNavScene	touch_started	Browsing	5		0.6644	0.3043	left(x=0.777, y=0.876, rawX=0.777, rawY=0.876, visibility=0.994, touching=True) right(x=0.000, y=0.000, rawX=0.611, rawY=0.691, visibility=0.254, touching=False) touchX=0.777, section=Right, touchLine=0.850, threshold=0.870
2026-06-10T07:36:45.2039328Z	2026-06-10T16:36:45.2039328+09:00	TouchNavScene	candidate_changed	Browsing	6		0.6644	0.3043	from=5; to=6; reason=touch_right; artifact_index=6; artifact_id=18; title=청동투구; touchX=0.777
2026-06-10T07:36:45.4883020Z	2026-06-10T16:36:45.4883020+09:00	TouchNavScene	touch_ended	Browsing	6		0.6721	0.3099	navigation=touch
2026-06-10T07:36:48.9539240Z	2026-06-10T16:36:48.9539240+09:00	TouchNavScene	touch_started	Browsing	6		0.4373	0.2868	left(x=0.290, y=0.870, rawX=0.286, rawY=0.876, visibility=0.946, touching=True) right(x=0.000, y=0.000, rawX=0.428, rawY=0.654, visibility=0.013, touching=False) touchX=0.290, section=Left, touchLine=0.850, threshold=0.870
2026-06-10T07:36:48.9539240Z	2026-06-10T16:36:48.9539240+09:00	TouchNavScene	candidate_changed	Browsing	5		0.4373	0.2868	from=6; to=5; reason=touch_left; artifact_index=5; artifact_id=17; title=빗살무늬토기; touchX=0.290
2026-06-10T07:36:50.1663230Z	2026-06-10T16:36:50.1663230+09:00	TouchNavScene	touch_ended	Browsing	5		0.4177	0.2837	navigation=touch
2026-06-10T07:36:57.0287538Z	2026-06-10T16:36:57.0287538+09:00	TouchNavScene	touch_started	Browsing	5		0.4220	0.3548	left(x=0.368, y=0.870, rawX=0.359, rawY=0.944, visibility=0.895, touching=True) right(x=0.000, y=0.000, rawX=0.373, rawY=0.636, visibility=0.007, touching=False) touchX=0.368, section=Center, touchLine=0.850, threshold=0.870
2026-06-10T07:36:57.0303660Z	2026-06-10T16:36:57.0303660+09:00	TouchNavScene	selection_confirmed	Browsing	5	5	0.4220	0.3548	artifact_index=5; artifact_id=17; title=빗살무늬토기; navigation=touch; section=Center; touchX=0.368
2026-06-10T07:36:57.0303660Z	2026-06-10T16:36:57.0303660+09:00	TouchNavScene	mode_changed	Detail	5	5	0.4220	0.3548	from=Browsing; to=Detail; reason=touch_center_detail; touchX=0.368; artifact_index=5; artifact_id=17; title=빗살무늬토기
2026-06-10T07:36:57.0309522Z	2026-06-10T16:36:57.0309522+09:00	TouchNavScene	detail_entered	Detail	5	5	0.4220	0.3548	artifact_index=5; artifact_id=17; title=빗살무늬토기; navigation=touch; section=Center; touchX=0.368
2026-06-10T07:37:01.8588733Z	2026-06-10T16:37:01.8588733+09:00	TouchNavScene	touch_ended	Detail	5	5	0.4159	0.3600	navigation=touch
2026-06-10T07:37:07.1903617Z	2026-06-10T16:37:07.1903617+09:00	TouchNavScene	space_pressed	Detail	5	5	0.4903	0.5319	navigation=ScreenTouch; candidate=artifact_index=5; artifact_id=17; title=빗살무늬토기; selected=artifact_index=5; artifact_id=17; title=빗살무늬토기
2026-06-10T07:37:10.3686288Z	2026-06-10T16:37:10.3686288+09:00	TouchNavScene	intro_back_clicked	Detail	5	5	0.4928	0.8910	target_scene=IntroScene
2026-06-10T07:37:10.3769402Z	2026-06-10T16:37:10.3769402+09:00	TouchNavScene	session_end	Detail	5	5	0.4928	0.8911	navigation=ScreenTouch
