timestamp_utc	timestamp_local	scene	event	mode	candidate_index	selected_index	position	depth	details
2026-06-10T07:00:00.7048583Z	2026-06-10T16:00:00.7048583+09:00	TouchNavScene	session_start	Overview			0.5000	0.5000	navigation=ScreenTouch; log_path=C:/Users/jiny1/AppData/LocalLow/DefaultCompany/GCT555_Client\UserEventLogs\user_events_20260610_160000_702.tsv
2026-06-10T07:00:00.7141464Z	2026-06-10T16:00:00.7141464+09:00	TouchNavScene	pose_tracking_lost	Overview			0.5000	0.5000	position=0.5000; depth=0.5000
2026-06-10T07:00:01.0062694Z	2026-06-10T16:00:01.0062694+09:00	TouchNavScene	pose_tracking_restored	Overview			0.5000	0.5000	position=0.5000; depth=0.5000
2026-06-10T07:00:01.0077784Z	2026-06-10T16:00:01.0077784+09:00	TouchNavScene	mode_changed	Browsing			0.4860	0.5003	from=Overview; to=Browsing; reason=pose_restored; 
2026-06-10T07:00:01.0087773Z	2026-06-10T16:00:01.0087773+09:00	TouchNavScene	candidate_changed	Browsing	4		0.4860	0.5003	from=; to=4; reason=pose_restored; artifact_index=4; artifact_id=17; title=빗살무늬토기; 
2026-06-10T07:00:02.0477527Z	2026-06-10T16:00:02.0477527+09:00	TouchNavScene	pose_tracking_lost	Browsing	4		0.0523	0.5102	position=0.0523; depth=0.5102
2026-06-10T07:00:02.0487514Z	2026-06-10T16:00:02.0487514+09:00	TouchNavScene	mode_changed	Overview	4		0.0523	0.5102	from=Browsing; to=Overview; reason=pose_lost; 
2026-06-10T07:00:03.4593135Z	2026-06-10T16:00:03.4593135+09:00	TouchNavScene	pose_tracking_restored	Overview			0.0523	0.5102	position=0.0523; depth=0.5102
2026-06-10T07:00:03.4593135Z	2026-06-10T16:00:03.4593135+09:00	TouchNavScene	mode_changed	Browsing			0.0523	0.5107	from=Overview; to=Browsing; reason=pose_restored; 
2026-06-10T07:00:03.4603129Z	2026-06-10T16:00:03.4603129+09:00	TouchNavScene	candidate_changed	Browsing	1		0.0523	0.5107	from=; to=1; reason=pose_restored; artifact_index=1; artifact_id=10; title=화각필통; 
2026-06-10T07:00:04.7422424Z	2026-06-10T16:00:04.7422424+09:00	TouchNavScene	pose_tracking_lost	Browsing	1		0.0584	0.5630	position=0.0584; depth=0.5630
2026-06-10T07:00:04.7432421Z	2026-06-10T16:00:04.7432421+09:00	TouchNavScene	mode_changed	Overview	1		0.0584	0.5630	from=Browsing; to=Overview; reason=pose_lost; 
2026-06-10T07:00:05.0878571Z	2026-06-10T16:00:05.0878571+09:00	TouchNavScene	pose_tracking_restored	Overview			0.0584	0.5630	position=0.0584; depth=0.5630
2026-06-10T07:00:05.0878571Z	2026-06-10T16:00:05.0878571+09:00	TouchNavScene	mode_changed	Browsing			0.0656	0.5670	from=Overview; to=Browsing; reason=pose_restored; 
2026-06-10T07:00:05.0888582Z	2026-06-10T16:00:05.0888582+09:00	TouchNavScene	candidate_changed	Browsing	1		0.0656	0.5670	from=; to=1; reason=pose_restored; artifact_index=1; artifact_id=10; title=화각필통; 
2026-06-10T07:00:17.5384786Z	2026-06-10T16:00:17.5384786+09:00	TouchNavScene	pose_tracking_lost	Browsing	1		0.8808	0.3607	position=0.8808; depth=0.3607
2026-06-10T07:00:17.5394780Z	2026-06-10T16:00:17.5394780+09:00	TouchNavScene	mode_changed	Overview	1		0.8808	0.3607	from=Browsing; to=Overview; reason=pose_lost; 
2026-06-10T07:00:23.9086708Z	2026-06-10T16:00:23.9086708+09:00	TouchNavScene	pose_tracking_restored	Overview			0.8808	0.3607	position=0.8808; depth=0.3607
