participant,participant_order,participant_session,condition,condition_session,source_file,mode,duration_s
3,MoveFirst,6,Baseline,3,user_events_20260610_153046_860.tsv,Overview,30.812613799999994
3,MoveFirst,6,Baseline,3,user_events_20260610_153046_860.tsv,Browsing,56.8245959
3,MoveFirst,6,Baseline,3,user_events_20260610_153046_860.tsv,TouchConfirmed,0.0
3,MoveFirst,6,Baseline,3,user_events_20260610_153046_860.tsv,Detail,34.8490883
4,TouchFirst,1,Baseline,1,user_events_20260610_155503_229.tsv,Overview,18.8882296
4,TouchFirst,1,Baseline,1,user_events_20260610_155503_229.tsv,Browsing,105.09902740000001
4,TouchFirst,1,Baseline,1,user_events_20260610_155503_229.tsv,TouchConfirmed,0.0
4,TouchFirst,1,Baseline,1,user_events_20260610_155503_229.tsv,Detail,21.775298199999998
4,TouchFirst,2,Baseline,2,user_events_20260610_155739_340.tsv,Overview,8.4528997
4,TouchFirst,2,Baseline,2,user_events_20260610_155739_340.tsv,Browsing,89.32902589999999
4,TouchFirst,2,Baseline,2,user_events_20260610_155739_340.tsv,TouchConfirmed,0.0
4,TouchFirst,2,Baseline,2,user_events_20260610_155739_340.tsv,Detail,33.9845512
4,TouchFirst,3,Baseline,3,user_events_20260610_160000_702.tsv,Overview,21.037692099999997
4,TouchFirst,3,Baseline,3,user_events_20260610_160000_702.tsv,Browsing,67.4683687
4,TouchFirst,3,Baseline,3,user_events_20260610_160000_702.tsv,TouchConfirmed,0.0
4,TouchFirst,3,Baseline,3,user_events_20260610_160000_702.tsv,Detail,18.555517
4,TouchFirst,4,Ours,1,user_events_20260610_160513_121.tsv,Overview,5.368798400000001
4,TouchFirst,4,Ours,1,user_events_20260610_160513_121.tsv,Browsing,49.476447799999995
4,TouchFirst,4,Ours,1,user_events_20260610_160513_121.tsv,TouchConfirmed,2.2497965
4,TouchFirst,4,Ours,1,user_events_20260610_160513_121.tsv,Detail,35.0278845
4,TouchFirst,5,Ours,2,user_events_20260610_160655_592.tsv,Overview,4.2396975
4,TouchFirst,5,Ours,2,user_events_20260610_160655_592.tsv,Browsing,25.6320403
4,TouchFirst,5,Ours,2,user_events_20260610_160655_592.tsv,TouchConfirmed,1.7962670999999997
4,TouchFirst,5,Ours,2,user_events_20260610_160655_592.tsv,Detail,13.273611
4,TouchFirst,6,Ours,3,user_events_20260610_160750_683.tsv,Overview,5.8153672
4,TouchFirst,6,Ours,3,user_events_20260610_160750_683.tsv,Browsing,88.0056355
4,TouchFirst,6,Ours,3,user_events_20260610_160750_683.tsv,TouchConfirmed,4.0488222
4,TouchFirst,6,Ours,3,user_events_20260610_160750_683.tsv,Detail,66.740473
5,MoveFirst,1,Ours,1,user_events_20260610_162625_771.tsv,Overview,16.0175572
