participant,participant_order,participant_session,condition,condition_session,source_file,session_duration_s,active_duration_s,events,event_rate_per_min,answer_count,correct_answer_count,selection_accuracy,valid_answer_count,correct_alignment_count,correct_alignment_rate,time_to_first_answer_s,time_to_second_answer_s,candidate_changes,unique_candidates,candidate_reversals,detail_entries,detail_exits,selection_confirmations,mode_changes,forward_mode_transitions,backward_mode_transitions,pose_losses,pose_lost_duration_s,touch_starts,touch_duration_s,wrong_touches_rule,answered_touches_rule,wrong_touch_rate_rule,wrong_selection_touches_rule,path_distance_position_depth,position_range,depth_range
4,TouchFirst,2,ScreenTouch,2,user_events_20260610_155739_340.tsv,131.766476,127.265687,131,61.76055923070608,2,2,1.0,2,2,1.0,97.468585,26.503439,22,6,8,7,5,7,15,9,6,2,8.443168,33,48.25198100000001,31,2,0.9393939393939394,5,7.632473942382589,0.7219,0.4468
4,TouchFirst,3,ScreenTouch,3,user_events_20260610_160000_702.tsv,107.061577,106.758657,70,39.34107189077884,2,2,1.0,2,2,1.0,79.526614,23.835052,12,6,3,2,0,2,19,11,8,9,21.029497,6,12.806308999999999,4,2,0.6666666666666666,0,4.588249519613652,0.8478,0.3853
4,TouchFirst,4,MoveDistance,1,user_events_20260610_160513_121.tsv,92.122927,86.754128,102,70.54419358580839,2,2,1.0,1,0,0.0,36.375759,17.080066,44,7,19,5,5,5,16,11,5,1,5.359186,10,28.525964,8,2,0.8,3,6.5992929239778775,0.9005,0.4743
4,TouchFirst,5,MoveDistance,2,user_events_20260610_160655_592.tsv,44.941615,40.701918,55,81.07726029028903,2,2,1.0,2,2,1.0,20.498984,16.721307,11,3,5,4,3,4,12,9,3,1,4.230829,7,10.84367,5,2,0.7142857142857143,2,1.710861521758495,0.2502,0.32839999999999997
4,TouchFirst,6,MoveDistance,3,user_events_20260610_160750_683.tsv,164.610297,160.224019,142,53.17554791831804,2,2,1.0,2,1,0.5,123.233301,33.48942,38,7,18,9,8,9,31,21,10,3,5.802634,18,47.710180000000015,16,2,0.8888888888888888,7,6.356368410130405,0.9169,0.5909
5,MoveFirst,1,MoveDistance,1,user_events_20260610_162625_771.tsv,74.173105,63.470166,57,53.883583666694676,2,2,1.0,2,1,0.5,22.00275,37.237792,25,7,6,2,1,2,10,7,3,3,16.009092,3,1.633743,1,2,0.3333333333333333,0,3.90216280264346,0.9168,0.49069999999999997
5,MoveFirst,2,MoveDistance,2,user_events_20260610_162749_055.tsv,39.090984,33.618549,47,83.882263925192,2,2,1.0,2,2,1.0,17.774208,13.436931,19,7,7,2,1,2,8,6,2,2,8.479748,3,1.798067,1,2,0.3333333333333333,0,2.815922050168304,0.9168,0.4683
5,MoveFirst,3,MoveDistance,3,user_events_20260610_162839_480.tsv,40.021585,27.92196,48,103.1446216526347,2,2,1.0,2,1,0.5,10.487094,14.226873,20,4,8,2,1,2,8,6,2,2,12.201621999999999,3,2.43799,1,2,0.3333333333333333,0,3.1496504424958567,0.5066,0.5838
5,MoveFirst,4,ScreenTouch,1,user_events_20260610_163328_660.tsv,83.625709,82.964927,68,49.177407219318106,2,2,1.0,2,2,1.0,17.555896,62.210193,14,7,2,2,1,2,6,4,2,2,7.499860999999999,17,22.349845,15,2,0.8823529411764706,0,2.8923609950601126,0.6383,0.4387
5,MoveFirst,5,ScreenTouch,2,user_events_20260610_163504_817.tsv,69.110753,64.325927,91,84.88023810368097,2,2,1.0,2,2,1.0,47.355167,13.639638,11,7,2,6,4,6,17,10,7,4,14.356747000000002,17,15.739782000000002,15,2,0.8823529411764706,4,3.148307156646576,0.6857,0.5907
5,MoveFirst,6,ScreenTouch,3,user_events_20260610_163623_770.tsv,46.606187,39.187426,32,48.995307831649875,2,2,1.0,2,2,1.0,5.087147,30.9137,4,3,1,2,1,2,4,3,1,1,7.406677,6,7.872056,4,2,0.6666666666666666,0,1.3104630987591255,0.25620000000000004,0.6073999999999999
6,TouchFirst,1,ScreenTouch,1,user_events_20260610_165105_903.tsv,73.363156,57.385353,76,79.46278556481128,2,2,1.0,1,1,1.0,24.331234,29.620883,10,7,1,4,4,4,13,7,6,3,16.085228,15,12.6653,13,2,0.8666666666666667,2,2.8379879186968666,0.3852,0.6332
6,TouchFirst,2,ScreenTouch,2,user_events_20260610_165229_129.tsv,74.36736,65.623162,100,91.43113219689111,2,2,1.0,1,1,1.0,20.533763,42.79882,9,7,1,7,7,7,17,9,8,2,8.882513000000001,22,24.310478,20,2,0.9090909090909091,5,2.671173987840999,0.41690000000000005,0.6555
6,TouchFirst,3,ScreenTouch,3,user_events_20260610_165356_848.tsv,66.536026,62.920103,97,92.49825926063727,2,2,1.0,1,1,1.0,21.756116,38.094408,12,5,5,5,5,5,19,10,9,5,8.361011,18,11.795116,16,2,0.8888888888888888,3,3.8059474018999935,0.645,0.6601999999999999
6,TouchFirst,4,MoveDistance,1,user_events_20260610_165835_805.tsv,53.064444,52.269918,70,80.352144420812,2,2,1.0,2,1,0.5,21.401088,28.490091,32,7,10,3,2,3,11,8,3,2,4.602899,5,4.432752,3,2,0.6,1,5.449490994692617,0.9168,0.5616
6,TouchFirst,5,MoveDistance,2,user_events_20260610_165937_371.tsv,69.521776,68.752094,121,105.59678371396221,2,2,1.0,2,1,0.5,15.75631,50.33185,34,6,9,7,5,7,28,19,9,5,11.178180000000001,13,19.032615999999997,11,2,0.8461538461538461,5,6.108340574017214,0.7502,0.6536000000000001
6,TouchFirst,6,MoveDistance,3,user_events_20260610_170054_295.tsv,31.574789,27.030835,49,108.76467560103119,2,2,1.0,2,2,1.0,12.977119,10.761258,19,6,9,2,1,2,9,6,3,3,7.51746,3,2.805901,1,2,0.3333333333333333,0,3.161901352048222,0.7799,0.6251000000000001
