participant,participant_order,participant_session,condition,condition_session,source_file,answer_no,answer_latency_s,correct_alignment,is_correct,valid_selected_answer,candidate_index,selected_index,position,depth,candidate_changes_before_answer,unique_candidates_before_answer,detail_entries_before_answer,selection_confirmations_before_answer,pose_losses_before_answer,path_distance_before_answer,target_proxy_index,wrong_candidate_visit_events_proxy,wrong_unique_candidates_proxy,wrong_detail_visits_proxy,wrong_selection_confirmations_proxy,wrong_touches_rule,answered_touches_rule,wrong_selection_touches_rule
3,MoveFirst,2,Ours,2,user_events_20260610_152122_594.tsv,2,36.180077,True,True,True,7.0,7.0,0.9661,0.5215,11,5,2,2,0,1.9687861043706205,7.0,10.0,4.0,1.0,1.0,3,1,1
3,MoveFirst,3,Ours,3,user_events_20260610_152243_982.tsv,1,9.451751,True,True,True,5.0,5.0,0.7339,0.5328,2,2,1,1,0,0.5023908013062339,5.0,1.0,1.0,0.0,0.0,0,1,0
3,MoveFirst,3,Ours,3,user_events_20260610_152243_982.tsv,2,15.86903,False,True,True,5.0,6.0,0.634,0.2746,6,3,2,2,0,1.126325109410972,6.0,3.0,2.0,1.0,1.0,3,1,1
3,MoveFirst,4,Baseline,1,user_events_20260610_152641_898.tsv,1,31.119141,True,True,True,4.0,4.0,0.5828,0.4156,3,2,3,3,1,1.1980447313734854,4.0,1.0,1.0,2.0,2.0,5,1,2
3,MoveFirst,4,Baseline,1,user_events_20260610_152641_898.tsv,2,79.445606,True,True,True,7.0,7.0,0.6538,0.4373,9,7,9,9,0,1.9278460062295253,7.0,8.0,6.0,7.0,7.0,27,1,8
3,MoveFirst,5,Baseline,2,user_events_20260610_152858_170.tsv,1,68.282289,True,True,True,2.0,2.0,0.5743,0.328,5,3,7,7,2,2.2147146578956804,2.0,4.0,2.0,5.0,5.0,14,1,6
3,MoveFirst,5,Baseline,2,user_events_20260610_152858_170.tsv,2,15.601499,True,True,True,1.0,1.0,0.4711,0.3152,4,4,2,2,1,0.5180652896290904,1.0,3.0,3.0,1.0,1.0,6,1,1
3,MoveFirst,6,Baseline,3,user_events_20260610_153046_860.tsv,1,16.386006,True,True,True,1.0,1.0,0.5055,0.4038,3,3,1,1,1,1.065566707996581,1.0,2.0,2.0,0.0,0.0,3,1,0
3,MoveFirst,6,Baseline,3,user_events_20260610_153046_860.tsv,2,88.139298,True,True,True,4.0,4.0,0.591,0.3867,9,6,3,3,6,5.373095877096935,4.0,8.0,5.0,2.0,2.0,8,1,2
4,TouchFirst,1,Baseline,1,user_events_20260610_155503_229.tsv,1,112.276871,True,True,True,6.0,6.0,0.5997,0.5969,20,7,2,2,4,5.484863703110111,6.0,14.0,6.0,1.0,1.0,18,1,1
4,TouchFirst,1,Baseline,1,user_events_20260610_155503_229.tsv,2,20.57305,True,True,True,4.0,4.0,0.6249,0.5465,2,2,1,1,0,1.1216116579198712,4.0,1.0,1.0,0.0,0.0,3,1,0
4,TouchFirst,2,Baseline,2,user_events_20260610_155739_340.tsv,1,97.468585,True,True,True,6.0,6.0,0.5539,0.6146,17,4,5,5,1,5.8271211639072344,6.0,9.0,3.0,4.0,4.0,23,1,4
4,TouchFirst,2,Baseline,2,user_events_20260610_155739_340.tsv,2,26.503439,True,True,True,3.0,3.0,0.6688,0.4619,5,4,2,2,0,1.5955758485521716,3.0,3.0,3.0,0.0,0.0,8,1,1
4,TouchFirst,3,Baseline,3,user_events_20260610_160000_702.tsv,1,79.526614,True,True,True,6.0,6.0,0.5693,0.5382,11,6,1,1,7,3.715248382694749,6.0,7.0,5.0,0.0,0.0,3,1,0
4,TouchFirst,3,Baseline,3,user_events_20260610_160000_702.tsv,2,23.835052,True,True,True,4.0,4.0,0.5549,0.5404,1,1,1,1,1,0.7421293165936753,4.0,0.0,0.0,0.0,0.0,1,1,0
4,TouchFirst,4,Ours,1,user_events_20260610_160513_121.tsv,1,36.375759,False,True,True,4.0,1.0,0.4852,0.5414,19,7,2,2,0,2.695381608990378,1.0,16.0,6.0,1.0,1.0,2,1,1
4,TouchFirst,4,Ours,1,user_events_20260610_160513_121.tsv,2,17.080066,False,True,False,5.0,,0.6921,0.5844,9,4,1,1,0,1.6731784502892688,5.0,5.0,3.0,1.0,1.0,2,1,0
4,TouchFirst,5,Ours,2,user_events_20260610_160655_592.tsv,1,20.498984,True,True,True,5.0,5.0,0.7061,0.6347,8,3,2,2,0,1.092446009777678,5.0,4.0,2.0,0.0,0.0,2,1,1
4,TouchFirst,5,Ours,2,user_events_20260610_160655_592.tsv,2,16.721307,True,True,True,4.0,4.0,0.5825,0.5657,1,1,2,2,0,0.39046323756066503,4.0,0.0,0.0,0.0,0.0,3,1,1
4,TouchFirst,6,Ours,3,user_events_20260610_160750_683.tsv,1,123.233301,False,True,True,5.0,3.0,0.599,0.4956,30,7,7,7,2,4.400421148980575,3.0,26.0,6.0,6.0,6.0,13,1,6
4,TouchFirst,6,Ours,3,user_events_20260610_160750_683.tsv,2,33.48942,True,True,True,7.0,7.0,0.9916,0.4741,6,4,2,2,0,1.404542216291278,7.0,5.0,3.0,1.0,1.0,3,1,1
5,MoveFirst,1,Ours,1,user_events_20260610_162625_771.tsv,1,22.00275,False,True,True,5.0,4.0,0.5856,0.5275,10,5,1,1,2,1.64289039606583,4.0,8.0,4.0,0.0,0.0,0,1,0
5,MoveFirst,1,Ours,1,user_events_20260610_162625_771.tsv,2,37.237792,True,True,True,6.0,6.0,0.869,0.4748,15,7,1,1,0,2.0834148978218545,6.0,12.0,6.0,0.0,0.0,1,1,0
5,MoveFirst,2,Ours,2,user_events_20260610_162749_055.tsv,1,17.774208,True,True,True,5.0,5.0,0.7484,0.5591,13,6,1,1,1,1.7782290706116277,5.0,10.0,5.0,0.0,0.0,0,1,0
5,MoveFirst,2,Ours,2,user_events_20260610_162749_055.tsv,2,13.436931,True,True,True,6.0,6.0,0.8609,0.6055,5,3,1,1,0,0.6896631433744497,6.0,2.0,2.0,0.0,0.0,1,1,0
5,MoveFirst,3,Ours,3,user_events_20260610_162839_480.tsv,1,10.487094,False,True,True,2.0,1.0,0.0903,0.6107,14,4,1,1,1,1.799911996364423,1.0,10.0,3.0,0.0,0.0,0,1,0
5,MoveFirst,3,Ours,3,user_events_20260610_162839_480.tsv,2,14.226873,True,True,True,3.0,3.0,0.3811,0.5487,5,3,1,1,0,0.8979947514797595,3.0,4.0,2.0,0.0,0.0,1,1,0
5,MoveFirst,4,Baseline,1,user_events_20260610_163328_660.tsv,1,17.555896,True,True,True,1.0,1.0,0.4762,0.3192,3,3,1,1,1,1.0818660098569237,1.0,2.0,2.0,0.0,0.0,1,1,0
5,MoveFirst,4,Baseline,1,user_events_20260610_163328_660.tsv,2,62.210193,True,True,True,2.0,2.0,0.4689,0.4165,11,6,1,1,0,1.7547472581515002,2.0,9.0,5.0,0.0,0.0,14,1,0
5,MoveFirst,5,Baseline,2,user_events_20260610_163504_817.tsv,1,47.355167,True,True,True,6.0,6.0,0.4672,0.4243,10,7,3,3,2,2.278382375436442,6.0,8.0,6.0,2.0,2.0,11,1,2
5,MoveFirst,5,Baseline,2,user_events_20260610_163504_817.tsv,2,13.639638,True,True,True,4.0,4.0,0.4917,0.4313,1,1,3,3,1,0.42622042293944695,4.0,0.0,0.0,2.0,2.0,4,1,2
5,MoveFirst,6,Baseline,3,user_events_20260610_163623_770.tsv,1,5.087147,True,True,True,4.0,4.0,0.5665,0.3946,1,1,1,1,0,0.2148852819952325,4.0,0.0,0.0,0.0,0.0,0,1,0
5,MoveFirst,6,Baseline,3,user_events_20260610_163623_770.tsv,2,30.9137,True,True,True,5.0,5.0,0.4903,0.5319,3,2,1,1,0,0.7317593423293547,5.0,1.0,1.0,0.0,0.0,4,1,0
6,TouchFirst,1,Baseline,1,user_events_20260610_165105_903.tsv,1,24.331234,True,True,True,5.0,5.0,0.6163,0.423,6,4,3,3,0,1.3387671835904218,5.0,4.0,3.0,1.0,1.0,9,1,2
6,TouchFirst,1,Baseline,1,user_events_20260610_165105_903.tsv,2,29.620883,False,True,False,1.0,,0.6227,0.5294,4,4,1,1,2,1.1486689029342143,1.0,3.0,3.0,0.0,0.0,4,1,0
6,TouchFirst,2,Baseline,2,user_events_20260610_165229_129.tsv,1,20.533763,True,True,True,6.0,6.0,0.5994,0.4768,5,4,2,2,0,1.1900567354703238,6.0,3.0,3.0,0.0,0.0,6,1,1
6,TouchFirst,2,Baseline,2,user_events_20260610_165229_129.tsv,2,42.79882,False,True,False,1.0,,0.5694,0.4853,4,4,5,5,1,1.0886317475431078,1.0,3.0,3.0,1.0,1.0,14,1,4
6,TouchFirst,3,Baseline,3,user_events_20260610_165356_848.tsv,1,21.756116,True,True,True,3.0,3.0,0.5519,0.4357,5,3,1,1,2,1.8608468132157587,3.0,3.0,2.0,0.0,0.0,2,1,0
6,TouchFirst,3,Baseline,3,user_events_20260610_165356_848.tsv,2,38.094408,False,True,False,5.0,,0.6235,0.42,7,5,4,4,2,1.4792507209229475,5.0,5.0,4.0,3.0,3.0,14,1,3
6,TouchFirst,4,Ours,1,user_events_20260610_165835_805.tsv,1,21.401088,False,True,True,5.0,3.0,0.5834,0.3676,17,7,1,1,1,2.7901042524889843,3.0,14.0,6.0,0.0,0.0,0,1,0
6,TouchFirst,4,Ours,1,user_events_20260610_165835_805.tsv,2,28.490091,True,True,True,4.0,4.0,0.5674,0.4657,13,5,2,2,0,2.2274215335761247,4.0,8.0,4.0,1.0,1.0,3,1,1
6,TouchFirst,5,Ours,2,user_events_20260610_165937_371.tsv,1,15.75631,True,True,True,5.0,5.0,0.6957,0.5781,11,5,1,1,1,1.8517732810394665,5.0,9.0,4.0,0.0,0.0,0,1,0
6,TouchFirst,5,Ours,2,user_events_20260610_165937_371.tsv,2,50.33185,False,True,True,4.0,1.0,0.4699,0.5276,22,6,6,6,3,3.7626448948549895,1.0,20.0,5.0,5.0,5.0,11,1,5
6,TouchFirst,6,Ours,3,user_events_20260610_170054_295.tsv,1,12.977119,True,True,True,5.0,5.0,0.7264,0.5185,9,5,1,1,1,1.9960073117138777,5.0,8.0,4.0,0.0,0.0,0,1,0
6,TouchFirst,6,Ours,3,user_events_20260610_170054_295.tsv,2,10.761258,True,True,True,6.0,6.0,0.7789,0.4222,9,2,1,1,0,0.8188323189127749,6.0,4.0,1.0,0.0,0.0,1,1,0
