participant,participant_order,condition,active_duration_s,answer_count,answered_touches_rule,backward_mode_transitions,candidate_changes,candidate_reversals,correct_alignment_count,correct_alignment_rate,correct_answer_count,depth_range,detail_entries,detail_exits,event_rate_per_min,events,forward_mode_transitions,mode_changes,path_distance_position_depth,pose_losses,pose_lost_duration_s,position_range,selection_accuracy,selection_confirmations,session_duration_s,time_to_first_answer_s,time_to_second_answer_s,touch_duration_s,touch_starts,unique_candidates,valid_answer_count,wrong_selection_touches_rule,wrong_touch_rate_rule,wrong_touches_rule,task_completion_time_s,wrong_detail_visits_proxy,wrong_selection_confirmations_proxy,wrong_touches_per_task_rule,wrong_selection_touches_per_task_rule
1,MoveFirst,Baseline,59.851796666666665,2.0,2.0,6.333333333333333,11.666666666666666,4.666666666666667,1.6666666666666667,1.0,2.0,0.6147333333333334,3.0,1.0,73.21594577919,70.66666666666667,9.333333333333334,15.666666666666666,2.7568332836819756,6.333333333333333,16.446907333333336,0.45103333333333334,1.0,3.0,68.060424,16.162190999999996,39.58718866666667,15.718759,9.666666666666666,4.333333333333333,1.6666666666666667,1.0,0.7825396825396825,7.666666666666667,27.874689833333335,0.2,0.2,3.8333333333333335,0.5
1,MoveFirst,Ours,52.830628,2.0,2.0,2.6666666666666665,15.666666666666666,5.0,1.6666666666666667,0.8333333333333334,2.0,0.5401333333333334,2.0,0.3333333333333333,54.201721823250345,45.666666666666664,4.666666666666667,7.333333333333333,3.0665446531372207,3.3333333333333335,31.16069966666667,0.7184666666666666,1.0,2.0,69.87215633333334,11.257328000000001,36.870096,1.3421610000000002,2.6666666666666665,5.666666666666667,2.0,0.0,0.2222222222222222,0.6666666666666666,24.063712,0.0,0.0,0.3333333333333333,0.0
2,TouchFirst,Baseline,115.266433,2.0,2.0,17.666666666666668,18.333333333333332,3.3333333333333335,2.0,1.0,2.0,0.45346666666666663,14.333333333333334,13.666666666666666,96.30603291415764,196.33333333333334,19.0,36.666666666666664,3.291485397816541,5.0,10.247198666666666,0.5026,1.0,14.333333333333334,122.67298633333333,29.36747166666667,81.48359966666668,33.447819,42.333333333333336,6.666666666666667,2.0,12.333333333333334,0.9255034137066804,40.333333333333336,55.42553566666667,6.0,6.0,20.0,6.166666666666667
2,TouchFirst,Ours,33.82175566666667,2.0,2.0,1.6666666666666667,13.333333333333334,7.0,1.3333333333333333,0.6666666666666666,2.0,0.5048333333333334,2.6666666666666665,1.6666666666666667,80.08828462179216,44.0,3.6666666666666665,5.333333333333333,2.4280439088905097,1.0,7.007902333333334,0.4091666666666667,1.0,2.6666666666666665,40.840208,19.674354,11.606958666666666,4.411578333333334,4.333333333333333,4.0,2.0,0.6666666666666666,0.5111111111111111,2.3333333333333335,15.640656333333334,0.16666666666666666,0.16666666666666666,1.1666666666666667,0.3333333333333333
3,MoveFirst,Baseline,103.107057,2.0,2.0,11.666666666666666,11.0,3.6666666666666665,2.0,1.0,2.0,0.6108666666666666,8.333333333333334,7.333333333333333,70.49234732909677,120.33333333333333,13.0,24.666666666666668,4.549331882203551,5.333333333333333,16.952181666666664,0.4803,1.0,8.333333333333334,113.089828,38.595812,61.062134333333326,41.243439333333335,23.0,5.666666666666667,2.0,6.333333333333333,0.8988070752776635,21.0,49.828973166666664,2.8333333333333335,2.8333333333333335,10.5,3.1666666666666665
3,MoveFirst,Ours,54.869904999999996,2.0,2.0,4.0,18.666666666666668,7.0,1.3333333333333333,0.6666666666666666,2.0,0.5671,3.0,2.0,70.25757654532407,58.666666666666664,5.0,9.0,3.5027836310820093,3.0,18.18944,0.6839333333333334,1.0,3.0,71.296747,24.276177,26.51437,7.384389666666667,5.0,5.666666666666667,2.0,1.0,0.6,3.0,25.3952735,0.3333333333333333,0.3333333333333333,1.5,0.5
4,TouchFirst,Baseline,123.31872299999999,2.0,2.0,6.666666666666667,18.666666666666668,5.333333333333333,2.0,1.0,2.0,0.4866999999999999,4.0,2.3333333333333335,49.14946451728098,102.0,9.333333333333334,16.0,6.279640998821699,5.333333333333333,16.116104333333332,0.7669,1.0,4.0,128.19686933333332,96.42402333333332,23.637180333333333,30.169713,20.666666666666668,6.333333333333333,2.0,2.0,0.8397013614404919,18.666666666666668,60.03060183333333,0.8333333333333334,0.8333333333333334,9.333333333333334,1.0
4,TouchFirst,Ours,95.893355,2.0,2.0,6.0,31.0,14.0,1.0,0.5,2.0,0.4645333333333333,6.0,5.333333333333333,68.26566726480515,99.66666666666667,7.666666666666667,13.666666666666666,4.888840951955593,1.6666666666666667,5.130883,0.6892,1.0,6.0,100.55827966666668,60.03601466666667,22.430264333333337,29.02660466666667,11.666666666666666,5.666666666666667,1.6666666666666667,4.0,0.801058201058201,9.666666666666666,41.2331395,1.5,1.5,4.166666666666667,1.6666666666666667
5,MoveFirst,Baseline,62.15942666666666,2.0,2.0,3.3333333333333335,9.666666666666666,1.6666666666666667,2.0,1.0,2.0,0.5456,3.3333333333333335,2.0,61.01765105154965,63.666666666666664,5.666666666666667,9.0,2.4503770834886045,2.3333333333333335,9.754428333333335,0.5267333333333334,1.0,3.3333333333333335,66.44754966666666,23.332736666666666,35.587843666666664,15.320561,13.333333333333334,5.666666666666667,2.0,1.3333333333333333,0.8104575163398692,11.333333333333334,29.460290166666667,0.6666666666666666,0.6666666666666666,5.666666666666667,0.6666666666666666
5,MoveFirst,Ours,41.670224999999995,2.0,2.0,2.3333333333333335,21.333333333333332,7.0,1.3333333333333333,0.6666666666666666,2.0,0.5142666666666666,2.0,1.0,80.30348974817379,50.666666666666664,4.333333333333333,6.666666666666667,3.289245098435874,2.3333333333333335,12.230153999999999,0.7800666666666666,1.0,2.0,51.09522466666667,16.754684,21.633865333333333,1.9566,3.0,6.0,2.0,0.0,0.3333333333333333,1.0,19.19427466666667,0.0,0.0,0.5,0.0
6,TouchFirst,Baseline,61.976206,2.0,2.0,7.666666666666667,10.333333333333334,2.3333333333333335,1.0,1.0,2.0,0.6496333333333333,5.333333333333333,5.333333333333333,87.79739234077988,91.0,8.666666666666666,16.333333333333332,3.105036436145953,3.3333333333333335,11.109584,0.48236666666666667,1.0,5.333333333333333,71.42218066666668,22.207037666666665,36.838037,16.256964666666665,18.333333333333332,6.333333333333333,1.0,3.3333333333333335,0.8882154882154882,16.333333333333332,29.522537333333332,0.8333333333333334,0.8333333333333334,8.166666666666666,1.6666666666666667
6,TouchFirst,Ours,49.35094899999999,2.0,2.0,5.0,28.333333333333332,9.333333333333334,1.3333333333333333,0.6666666666666666,2.0,0.6134333333333334,4.0,2.6666666666666665,98.23786791193514,80.0,7.0,12.0,4.906577640252684,3.3333333333333335,7.766179666666667,0.8156333333333333,1.0,4.0,51.387003,16.711505666666667,29.861066333333337,8.757089666666666,7.0,6.333333333333333,2.0,2.0,0.5931623931623932,5.0,23.286286,1.0,1.0,2.5,1.0
