participant,participant_order,participant_session,condition,condition_session,source_file,touch_kind,timestamp_utc,event,mode,candidate_index,selected_index,position,depth,wrong_touch,answered_touch
1,MoveFirst,5,ScreenTouch,2,user_events_20260610_142325_337.tsv,touch_started,2026-06-10 05:24:50.483356800+00:00,touch_started,Browsing,2.0,,0.2116,0.4181,True,False
1,MoveFirst,5,ScreenTouch,2,user_events_20260610_142325_337.tsv,touch_started,2026-06-10 05:24:52.900327700+00:00,touch_started,Browsing,1.0,,0.254,0.3147,False,True
1,MoveFirst,5,ScreenTouch,2,user_events_20260610_142325_337.tsv,selection_confirmed,2026-06-10 05:23:43.566434100+00:00,selection_confirmed,Browsing,4.0,4.0,0.6113,0.3666,False,True
1,MoveFirst,5,ScreenTouch,2,user_events_20260610_142325_337.tsv,selection_confirmed,2026-06-10 05:23:49.340421200+00:00,selection_confirmed,Browsing,5.0,5.0,0.6386,0.3033,True,False
1,MoveFirst,5,ScreenTouch,2,user_events_20260610_142325_337.tsv,selection_confirmed,2026-06-10 05:24:52.900327700+00:00,selection_confirmed,Browsing,1.0,1.0,0.254,0.3147,False,True
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,touch_started,2026-06-10 05:25:23.413025200+00:00,touch_started,Browsing,4.0,,0.2132,0.4135,True,False
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,touch_started,2026-06-10 05:25:23.960190700+00:00,touch_started,Browsing,3.0,,0.1776,0.3473,True,False
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,touch_started,2026-06-10 05:25:26.273332900+00:00,touch_started,Browsing,2.0,,0.1723,0.3679,True,False
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,touch_started,2026-06-10 05:25:28.445519200+00:00,touch_started,Browsing,1.0,,0.2179,0.3363,True,False
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,touch_started,2026-06-10 05:25:34.372031800+00:00,touch_started,Browsing,3.0,,0.2087,0.4055,True,False
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,touch_started,2026-06-10 05:25:35.463665900+00:00,touch_started,Browsing,2.0,,0.1771,0.4514,True,False
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,touch_started,2026-06-10 05:25:36.030275900+00:00,touch_started,Browsing,1.0,,0.1902,0.4119,True,False
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,touch_started,2026-06-10 05:25:36.959659100+00:00,touch_started,Browsing,1.0,,0.1929,0.4182,False,True
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,touch_started,2026-06-10 05:25:40.678074500+00:00,touch_started,Detail,1.0,1.0,0.27,0.3385,True,False
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,touch_started,2026-06-10 05:25:53.157571300+00:00,touch_started,Browsing,4.0,,0.2699,0.3296,True,False
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,touch_started,2026-06-10 05:25:54.729724500+00:00,touch_started,Browsing,3.0,,0.206,0.3833,True,False
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,touch_started,2026-06-10 05:25:56.905279+00:00,touch_started,Browsing,2.0,,0.2707,0.3201,False,True
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,selection_confirmed,2026-06-10 05:25:28.447211+00:00,selection_confirmed,Browsing,1.0,1.0,0.2179,0.3363,True,False
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,selection_confirmed,2026-06-10 05:25:36.960658700+00:00,selection_confirmed,Browsing,1.0,1.0,0.1929,0.4182,False,True
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,selection_confirmed,2026-06-10 05:25:56.906284600+00:00,selection_confirmed,Browsing,2.0,2.0,0.2707,0.3201,False,True
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,touch_started,2026-06-10 05:45:20.430227200+00:00,touch_started,Browsing,1.0,,0.5459,0.3368,True,False
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,touch_started,2026-06-10 05:45:28.148619100+00:00,touch_started,Detail,1.0,1.0,0.5603,0.3178,True,False
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,touch_started,2026-06-10 05:45:30.160842500+00:00,touch_started,Browsing,1.0,,0.6215,0.2836,True,False
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,touch_started,2026-06-10 05:45:32.175094+00:00,touch_started,Browsing,2.0,,0.6176,0.29,True,False
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,touch_started,2026-06-10 05:45:38.386672500+00:00,touch_started,Detail,2.0,2.0,0.5847,0.3083,True,False
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,touch_started,2026-06-10 05:45:40.162961500+00:00,touch_started,Browsing,2.0,,0.6277,0.3077,True,False
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,touch_started,2026-06-10 05:45:41.538834200+00:00,touch_started,Browsing,3.0,,0.6311,0.2792,True,False
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,touch_started,2026-06-10 05:45:43.824306300+00:00,touch_started,Browsing,4.0,,0.6276,0.3175,True,False
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,touch_started,2026-06-10 05:45:44.820414100+00:00,touch_started,Browsing,5.0,,0.6211,0.3014,False,True
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,touch_started,2026-06-10 05:45:57.456887+00:00,touch_started,Detail,5.0,5.0,0.6053,0.2996,True,False
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,touch_started,2026-06-10 05:45:58.173001200+00:00,touch_started,Browsing,5.0,,0.6127,0.2973,True,False
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,touch_started,2026-06-10 05:46:00.211452300+00:00,touch_started,Browsing,6.0,,0.5725,0.292,True,False
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,touch_started,2026-06-10 05:46:00.778642200+00:00,touch_started,Detail,6.0,6.0,0.5768,0.2769,True,False
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,touch_started,2026-06-10 05:46:03.931593200+00:00,touch_started,Browsing,6.0,,0.5135,0.3126,True,False
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,touch_started,2026-06-10 05:46:09.337051700+00:00,touch_started,Detail,6.0,6.0,0.4613,0.3598,True,False
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,touch_started,2026-06-10 05:46:14.082997700+00:00,touch_started,Browsing,6.0,,0.3839,0.3143,True,False
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,touch_started,2026-06-10 05:46:15.156297+00:00,touch_started,Browsing,5.0,,0.3747,0.2957,True,False
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,touch_started,2026-06-10 05:46:22.457923500+00:00,touch_started,Browsing,4.0,,0.6172,0.3535,False,True
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,touch_started,2026-06-10 05:46:25.401295300+00:00,touch_started,Detail,4.0,4.0,0.6158,0.3819,True,False
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,selection_confirmed,2026-06-10 05:45:20.431235100+00:00,selection_confirmed,Browsing,1.0,1.0,0.5459,0.3368,True,False
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,selection_confirmed,2026-06-10 05:45:32.176093800+00:00,selection_confirmed,Browsing,2.0,2.0,0.6176,0.29,True,False
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,selection_confirmed,2026-06-10 05:45:44.820414100+00:00,selection_confirmed,Browsing,5.0,5.0,0.6211,0.3014,False,True
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,selection_confirmed,2026-06-10 05:46:00.211452300+00:00,selection_confirmed,Browsing,6.0,6.0,0.5725,0.292,True,False
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,selection_confirmed,2026-06-10 05:46:03.931593200+00:00,selection_confirmed,Browsing,6.0,6.0,0.5135,0.3126,True,False
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,selection_confirmed,2026-06-10 05:46:22.458929400+00:00,selection_confirmed,Browsing,4.0,4.0,0.6172,0.3535,False,True
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,touch_started,2026-06-10 05:46:53.141297900+00:00,touch_started,Browsing,4.0,,0.659,0.3256,True,False
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,touch_started,2026-06-10 05:46:54.855650400+00:00,touch_started,Browsing,5.0,,0.6757,0.3248,True,False
