,active_duration_s,active_duration_s,active_duration_s,active_duration_s,active_duration_s,answer_count,answer_count,answer_count,answer_count,answer_count,answered_touches_rule,answered_touches_rule,answered_touches_rule,answered_touches_rule,answered_touches_rule,backward_mode_transitions,backward_mode_transitions,backward_mode_transitions,backward_mode_transitions,backward_mode_transitions,candidate_changes,candidate_changes,candidate_changes,candidate_changes,candidate_changes,candidate_reversals,candidate_reversals,candidate_reversals,candidate_reversals,candidate_reversals,correct_alignment_count,correct_alignment_count,correct_alignment_count,correct_alignment_count,correct_alignment_count,correct_alignment_rate,correct_alignment_rate,correct_alignment_rate,correct_alignment_rate,correct_alignment_rate,correct_answer_count,correct_answer_count,correct_answer_count,correct_answer_count,correct_answer_count,depth_range,depth_range,depth_range,depth_range,depth_range,detail_entries,detail_entries,detail_entries,detail_entries,detail_entries,detail_exits,detail_exits,detail_exits,detail_exits,detail_exits,event_rate_per_min,event_rate_per_min,event_rate_per_min,event_rate_per_min,event_rate_per_min,events,events,events,events,events,forward_mode_transitions,forward_mode_transitions,forward_mode_transitions,forward_mode_transitions,forward_mode_transitions,mode_changes,mode_changes,mode_changes,mode_changes,mode_changes,path_distance_position_depth,path_distance_position_depth,path_distance_position_depth,path_distance_position_depth,path_distance_position_depth,pose_losses,pose_losses,pose_losses,pose_losses,pose_losses,pose_lost_duration_s,pose_lost_duration_s,pose_lost_duration_s,pose_lost_duration_s,pose_lost_duration_s,position_range,position_range,position_range,position_range,position_range,selection_accuracy,selection_accuracy,selection_accuracy,selection_accuracy,selection_accuracy,selection_confirmations,selection_confirmations,selection_confirmations,selection_confirmations,selection_confirmations,session_duration_s,session_duration_s,session_duration_s,session_duration_s,session_duration_s,time_to_first_answer_s,time_to_first_answer_s,time_to_first_answer_s,time_to_first_answer_s,time_to_first_answer_s,time_to_second_answer_s,time_to_second_answer_s,time_to_second_answer_s,time_to_second_answer_s,time_to_second_answer_s,touch_duration_s,touch_duration_s,touch_duration_s,touch_duration_s,touch_duration_s,touch_starts,touch_starts,touch_starts,touch_starts,touch_starts,unique_candidates,unique_candidates,unique_candidates,unique_candidates,unique_candidates,valid_answer_count,valid_answer_count,valid_answer_count,valid_answer_count,valid_answer_count,wrong_selection_touches_rule,wrong_selection_touches_rule,wrong_selection_touches_rule,wrong_selection_touches_rule,wrong_selection_touches_rule,wrong_touch_rate_rule,wrong_touch_rate_rule,wrong_touch_rate_rule,wrong_touch_rate_rule,wrong_touch_rate_rule,wrong_touches_rule,wrong_touches_rule,wrong_touches_rule,wrong_touches_rule,wrong_touches_rule
,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max
condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline,87.61327372222223,41.61750704117198,78.873717,39.187426,210.568783,2.0,0.0,2.0,2,2,2.0,0.0,2.0,2,2,8.88888888888889,7.691774742724234,7.5,1,37,13.277777777777779,6.542220845765697,12.0,4,32,3.5,2.727851988394575,2.5,1,9,1.7777777777777777,0.4277926319464985,2.0,1,2,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2,2,0.5601666666666667,0.10886370323644577,0.59865,0.26070000000000004,0.6601999999999999,6.388888888888889,6.696257856522982,4.5,2,31,5.277777777777778,6.841100320472669,4.0,0,30,72.99647232200915,21.031892425495307,79.47390873963057,39.34107189077884,111.69746847043325,107.33333333333333,76.27967117977187,92.5,32,392,10.833333333333334,7.422144925432112,9.5,3,38,19.72222222222222,15.087219193958042,17.0,4,75,3.738784180359721,1.8172020640381301,3.168076370648224,1.3104630987591255,7.632473942382589,4.611111111111111,2.8104613163069003,4.0,1,10,13.437734055555556,6.745690670154902,11.150382,6.39496,30.806801,0.5349888888888888,0.17925618174224967,0.5489999999999999,0.25620000000000004,0.8478,1.0,0.0,1.0,1.0,1.0,6.388888888888889,6.696257856522982,4.5,2,31,94.98163966666667,40.9322801303708,87.840315,46.606187,211.764824,37.68154538888889,31.276720531997423,24.100871499999997,5.087147,112.276871,46.36599727777778,40.08781281940379,30.332898999999998,13.639638,181.021721,25.35954266666667,20.348250238930543,15.686444,7.165984000000001,75.72708600000001,21.22222222222222,18.258134546666675,17.5,6,87,5.833333333333333,1.3394467690277294,6.0,3,7,1.7777777777777777,0.4277926319464985,2.0,1,2,4.388888888888889,6.6962578565229816,2.5,0,29,0.8575374229199793,0.09064754863616643,0.8856209150326797,0.6666666666666666,0.9770114942528736,19.22222222222222,18.258134546666675,15.5,4,85
Ours,54.739469611111105,32.70666913903444,45.517750500000005,27.030835,160.224019,2.0,0.0,2.0,2,2,2.0,0.0,2.0,2,2,3.611111111111111,2.4766887023008315,3.0,1,10,21.38888888888889,10.14679832951603,19.0,8,44,8.222222222222221,4.4530961543040055,8.0,3,19,1.3333333333333333,0.5940885257860046,1.0,0,2,0.6666666666666666,0.2970442628930023,0.5,0.0,1.0,2.0,0.0,2.0,2,2,0.53405,0.07311137555328938,0.53805,0.32839999999999997,0.6536000000000001,3.2777777777777777,1.934381054849193,3.0,2,9,2.1666666666666665,2.007339474206065,2.0,0,8,75.22576798588011,19.801048163622433,75.4481690033102,45.04987388793467,108.76467560103119,63.111111111111114,29.30145326427843,49.0,39,142,5.388888888888889,2.61531437518432,4.5,3,12,9.0,5.064292529419031,7.5,4,22,3.6803393139589815,1.5785486877025745,3.155775897272039,1.710861521758495,6.5992929239778775,2.4444444444444446,1.464168996281919,2.0,1,5,13.580876444444446,11.773177691835464,11.689900999999999,3.628783,52.628226,0.6827444444444445,0.2344883572231308,0.7324999999999999,0.2502,0.9399,1.0,0.0,1.0,1.0,1.0,3.2777777777777777,1.934381054849193,3.0,2,9,64.17493644444444,32.98957125287047,54.331738,31.574789,164.610297,24.785010555555555,27.24691063194027,17.2675425,7.304067,123.233301,24.819436777777778,13.285549010960098,19.525033,8.551485,50.33185,8.813070555555557,12.066926973689316,4.0215455,0.9938560000000001,47.710180000000015,5.611111111111111,4.14642140375485,5.0,2,18,5.555555555555555,1.4234267774809048,6.0,3,7,1.9444444444444444,0.2357022603955158,2.0,1,2,1.2777777777777777,1.934381054849193,1.0,0,7,0.5101478768145434,0.2313090923711415,0.6,0.0,0.8888888888888888,3.611111111111111,4.14642140375485,3.0,0,16
